# Week 4 — the words that separate a confident speaker from a fluent one, and
# the spellings that survive to the final exam: -ance/-ence, -ery/-ary/-ory,
# the doubled consonants nobody hears, and the borrowings that keep foreign spelling.
sacred|ˈseɪkrɪd|sa-cred|সেক্রেড|পবিত্র|adjective||2970|sacrid,secred
scarce|skeəs|scarce|স্কেয়ার্স|দুষ্প্রাপ্য|adjective|soft_c|2971|scarse,skarce
secure|sɪˈkjʊə|se-cure|সিকিওর|নিরাপদ|adjective|drop_silent_e|2972|secur,sekure
serene|səˈriːn|se-rene|সেরিন|প্রশান্ত|adjective|drop_silent_e|2973|seren,sereene
severe|sɪˈvɪə|se-vere|সিভিয়ার|তীব্র|adjective|no_final_v|2974|sever,severre
shallow|ˈʃæləʊ|shal-low|শ্যালো|অগভীর|adjective||2975|shalow,shallo
sheer|ʃɪə|sheer|শিয়ার|নিছক|adjective||2976|shear,sheerr
shrewd|ʃruːd|shrewd|শ্রুড|চতুর|adjective||2977|shrude,shrewde
sincere|sɪnˈsɪə|sin-cere|সিনসিয়ার|আন্তরিক|adjective|soft_c|2978|sincer,sinsere
sober|ˈsəʊbə|so-ber|সোবার|সংযত|adjective||2979|sobar,souber
sophisticated|səˈfɪstɪkeɪtɪd|so-phis-ti-ca-ted|সফিসটিকেটেড|পরিশীলিত|adjective||2980|sophisticted,sofisticated
spontaneous|spɒnˈteɪniəs|spon-ta-ne-ous|স্পনটেনিয়াস|স্বতঃস্ফূর্ত|adjective||2981|spontanous,spontaneus
stable|ˈsteɪbl|sta-ble|স্টেবল|স্থিতিশীল|adjective|able_ible|2982|stabel,stible
stagnant|ˈstæɡnənt|stag-nant|স্ট্যাগনেন্ট|নিশ্চল|adjective||2983|stagnent,stagnunt
stale|steɪl|stale|স্টেল|বাসি|adjective|drop_silent_e|2984|stail,stalle
steep|stiːp|steep|স্টিপ|খাড়া|adjective||2985|steap,steepp
stern|stɜːn|stern|স্টার্ন|কঠোর|adjective||2986|starn,sternn
stiff|stɪf|stiff|স্টিফ|শক্ত|adjective|floss_doubling|2987|stif,stiffe
strict|strɪkt|strict|স্ট্রিক্ট|কড়া|adjective||2988|strickt,stricht
stubborn|ˈstʌbən|stub-born|স্টাবর্ন|একগুঁয়ে|adjective||2989|stuborn,stubbern
superb|suːˈpɜːb|su-perb|সুপার্ব|চমৎকার|adjective||2990|supurb,superbb
superficial|ˌsuːpəˈfɪʃl|su-per-fi-cial|সুপারফিশিয়াল|ভাসাভাসা|adjective|soft_c|2991|superficiel,superfisial
superior|suːˈpɪəriə|su-pe-ri-or|সুপিরিয়র|উৎকৃষ্টতর|adjective||2992|superier,superrior
supreme|suːˈpriːm|su-preme|সুপ্রিম|সর্বোচ্চ|adjective|drop_silent_e|2993|suprem,supreem
swift|swɪft|swift|সুইফট|দ্রুত|adjective||2994|swifft,sweeft
tense|tens|tense|টেন্স|টানটান|adjective|drop_silent_e|2995|tence,tenss
thorough|ˈθʌrə|tho-rough|থরো|পুঙ্খানুপুঙ্খ|adjective|silent_letters|2996|thourough,thorogh
thrifty|ˈθrɪfti|thrif-ty|থ্রিফটি|মিতব্যয়ী|adjective|y_to_i|2997|thriftey,triffty
timid|ˈtɪmɪd|ti-mid|টিমিড|ভীরু|adjective||2998|timmid,timide
tolerant|ˈtɒlərənt|to-le-rant|টলারেন্ট|সহনশীল|adjective||2999|tolerent,tollerant
tragic|ˈtrædʒɪk|tra-gic|ট্র্যাজিক|করুণ|adjective|soft_g|3000|trajic,tragik
tranquil|ˈtræŋkwɪl|tran-quil|ট্র্যাংকুইল|শান্ত|adjective|q_takes_u|3001|tranquill,trankwil
transparent|trænsˈpærənt|trans-pa-rent|ট্রান্সপ্যারেন্ট|স্বচ্ছ|adjective||3002|transparant,tranparent
tremendous|trəˈmendəs|tre-men-dous|ট্রিমেনডাস|অসাধারণ|adjective||3003|tremendus,tremandous
trivial|ˈtrɪviəl|tri-vi-al|ট্রিভিয়াল|নগণ্য|adjective||3004|triviel,trivail
turbulent|ˈtɜːbjələnt|tur-bu-lent|টার্বুলেন্ট|উত্তাল|adjective||3005|turbulant,turbolent
ultimate|ˈʌltɪmət|ul-ti-mate|আলটিমেট|চূড়ান্ত|adjective||3006|ultimet,ultemate
universal|ˌjuːnɪˈvɜːsl|u-ni-ver-sal|ইউনিভার্সাল|সর্বজনীন|adjective||3007|universel,univarsal
upright|ˈʌpraɪt|up-right|আপরাইট|সৎ|adjective|silent_letters|3008|uprite,uprigt
urgent|ˈɜːdʒənt|ur-gent|আর্জেন্ট|জরুরি|adjective|soft_g|3009|urgant,urjent
vain|veɪn|vain|ভেইন|অহংকারী|adjective||3010|vane,viain
valid|ˈvælɪd|va-lid|ভ্যালিড|বৈধ|adjective||3011|valide,balid
vast|vɑːst|vast|ভাস্ট|বিস্তীর্ণ|adjective||3012|vastt,bast
versatile|ˈvɜːsətaɪl|ver-sa-tile|ভার্সাটাইল|বহুমুখী|adjective||3013|versatil,varsatile
vicious|ˈvɪʃəs|vi-cious|ভিশাস|নিষ্ঠুর|adjective|soft_c|3014|vicous,vishous
vigilant|ˈvɪdʒɪlənt|vi-gi-lant|ভিজিলেন্ট|সতর্ক|adjective|soft_g|3015|vigilent,vijilant
vigorous|ˈvɪɡərəs|vi-go-rous|ভিগোরাস|প্রাণবন্ত|adjective||3016|vigourous,vigorus
vivid|ˈvɪvɪd|vi-vid|ভিভিড|স্পষ্ট|adjective|no_final_v|3017|vivide,bibid
vulgar|ˈvʌlɡə|vul-gar|ভালগার|অশ্লীল|adjective||3018|vulger,bulgar
vulnerable|ˈvʌlnərəbl|vul-ne-ra-ble|ভালনারেবল|ঝুঁকিপ্রবণ|adjective|able_ible|3019|vulnerible,vunerable
weary|ˈwɪəri|wea-ry|উইয়ারি|ক্লান্ত|adjective|y_to_i|3020|weery,wearie
wholesome|ˈhəʊlsəm|whole-some|হোলসাম|স্বাস্থ্যকর|adjective|silent_letters|3021|holesome,wholesom
wicked|ˈwɪkɪd|wic-ked|উইকেড|দুষ্ট|adjective|ck_after_short_vowel|3022|wickid,wiked
wise|waɪz|wise|ওয়াইজ|জ্ঞানী|adjective|drop_silent_e|3023|wize,wyse
witty|ˈwɪti|wit-ty|উইটি|রসিক|adjective|y_to_i|3024|wity,wittie
worthy|ˈwɜːði|wor-thy|ওয়ার্দি|যোগ্য|adjective|y_to_i|3025|worthey,wordy
zealous|ˈzeləs|zea-lous|জেলাস|উদ্যমী|adjective||3026|zealus,zelous
guarantee|ˌɡærənˈtiː|gua-ran-tee|গ্যারানটি|নিশ্চয়তা|noun||3027|garantee,guarrantee
trustee|trʌˈstiː|trus-tee|ট্রাসটি|অছি|noun||3028|trusty,trustie
nominee|ˌnɒmɪˈniː|no-mi-nee|নমিনি|মনোনীত ব্যক্তি|noun||3029|nomine,nominy
absentee|ˌæbsənˈtiː|ab-sen-tee|অ্যাবসেনটি|অনুপস্থিত ব্যক্তি|noun||3030|absente,absenty
jubilee|ˈdʒuːbɪliː|ju-bi-lee|জুবিলি|জয়ন্তী|noun|soft_g|3031|jubily,jubilie
marquee|mɑːˈkiː|mar-quee|মার্কি|বড় তাঁবু|noun|q_takes_u|3032|marquy,markee
custody|ˈkʌstədi|cus-to-dy|কাসটডি|হেফাজত|noun|y_to_i|3033|custodey,kustody
guarantor|ˌɡærənˈtɔː|gua-ran-tor|গ্যারানটর|জামিনদার|noun||3034|garantor,guarrantor
warranty|ˈwɒrənti|war-ran-ty|ওয়ারানটি|ওয়ারেন্টি|noun|y_to_i|3035|warrenty,waranty
